ip,label,feat_query_count,feat_ip_count,feat_ns_count,feat_isns_domain,feat_soadomain_count,feat_issoa_domain,feat_duration,feat_ip_duration,feat_ip_query,feat_ip_apexcount,number of whois records,number of inetnums,size of the maximum intentum,size of the minimum intentum,netTypes,number of owners,most recent update,#resolutions,#res_apexes,detected_urls,detected_urls_pos,detected_apexes,detected_fqdns,undetected_urls,undetected_apexes,undetected_fqdns,det_comm_files,undet_comm_files,det_download, undet_download, det_referrer, undet_referrer,subnet,asn
51.195.166.202,1.0,-0.1090492905950821,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,1.3747662982668507,0.6230601605536304,0.1844513090113434,-0.0182842143022303,-0.5483758914165449,-0.888134640861691,-0.1053209523218134,1.611328250259094,1.6127713405360558,7.0,-0.8896071423929532,0.2682451627457705,-0.6334776746730398,-0.5438958968230104,-0.5723409600418571,-0.6559979143087298,-0.4826167368767036,-0.4973417134562948,-0.6730104543599834,-0.5554493321487757,-0.5914456684098596,-0.3981276604286983,0.0,-0.2337585630647204,-0.4906736184001433,-0.0669060407810662,-0.0982845326855521,1.279022201866176,-0.4883200876690751
123.30.149.52,1.0,-0.108950717499645,-0.3801918903828834,-0.5621525676705039,0.0620532057604075,-0.1643694599772435,-0.1656975070507081,-0.3094693177223408,0.393592371993268,-0.0184260004448241,-0.5451812614158091,0.0932797751804933,-0.1053209523218134,1.611328250259094,1.6127713405360558,0.0,0.0936788381662565,-2.5299411798746334,-0.6455359378751965,-0.5995518744385712,-0.5206830303496087,0.6534669453448683,-0.4140644700972098,-0.4430215428902062,-0.3041962588307728,-0.5554493321487757,-0.5241211889988217,-0.3573577256294692,0.0,-0.2337585630647204,-0.4054124269972873,-0.0669060407810662,-0.0982845326855521,-0.8957936277305152,1.4665223596652457
36.92.42.3,1.0,-0.1090333966386086,-0.3801918903828834,-0.048965821407039,0.0620532057604075,4.901810833677998,-0.9359294097094876,-1.82338439620125,-1.311824029088968,-0.0184932444354898,-0.5483758914165449,-0.888134640861691,-0.1053209523218134,1.611328250259094,1.6127713405360558,0.0,-0.8896071423929532,-0.0777735089814525,-0.6937689906838231,-0.6159212796196184,2.010555524570561,1.3568366413873725,-0.4140644700972098,-0.3887013723241175,-0.5116542438159538,-0.5554493321487757,-0.5577834287043406,-0.3981276604286983,0.0,1.082143656523704,0.3193076999269876,-0.0669060407810662,0.109522362905624,1.0438009496916645,2.2287674633789947
206.189.177.59,1.0,-0.1090505132071186,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,0.0317256995103976,0.2322413207404588,-0.0184928337672516,-0.5483758914165449,2.056108607264862,-0.1053209523218134,-0.7514684204712566,-0.7477468757162261,4.0,2.060250799284676,0.9498216749520898,-0.6575942010773531,-0.5930041123661522,-0.4948540655034845,1.3393771099253242,-0.4140644700972098,-0.4430215428902062,-0.6960613415805591,-0.5554493321487757,-0.5914456684098596,-0.3981276604286983,0.0,-0.1397655473798329,-0.3201512355944315,-0.0669060407810662,-0.0982845326855521,0.1687300499918692,-0.6291626389113075
192.241.218.187,1.0,-0.1076775198902079,-0.3775874310386891,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,0.2194184442786815,0.2650852758067706,0.25458239940347,-0.0184933148357592,-0.546778576416177,1.0746941912226775,-0.1053209523218134,-0.7561013551197475,-0.7523753428069169,4.0,1.076964818725466,0.9498216749520898,-0.6937689906838231,-0.6159212796196184,-0.5206830303496087,2.8982638476081792,-0.4140644700972098,-0.4430215428902062,-0.6960613415805591,-0.5554493321487757,-0.5914456684098596,-0.3981276604286983,0.0,-0.2337585630647204,-0.4906736184001433,-0.0669060407810662,0.109522362905624,-0.1144922848297797,-0.6291626389113075
206.189.233.163,1.0,-0.1090341607711313,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,0.1755089936889034,0.3068211563282768,-0.018490557491874,-0.5483758914165449,2.056108607264862,-0.1053209523218134,-0.7514684204712566,-0.7477468757162261,4.0,2.060250799284676,0.9498216749520898,-0.6744757695603725,-0.5995518744385712,-0.5206830303496087,0.4664005368229256,-0.4140644700972098,-0.4430215428902062,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.4054124269972873,-0.0669060407810662,0.109522362905624,0.1691606244873751,-0.6291626389113075
203.151.83.7,1.0,-0.1090401210048089,-0.3801918903828834,1.4905944173833554,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,0.7842348581672421,0.4341552474072044,-0.0184932796356245,-0.546778576416177,0.0932797751804933,-0.1053209523218134,1.611328250259094,1.6127713405360558,0.0,0.0936788381662565,0.5278713577630335,-0.6817107274816665,-0.6093735175471995,-0.5206830303496087,1.7758653964765236,-0.4140644700972098,-0.4430215428902062,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.4054124269972873,-0.0669060407810662,-0.0982845326855521,0.151889803056528,1.4746729702695416
68.183.25.187,1.0,-0.0746228280467881,-0.3749829716944948,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,1.3747662982668507,0.3321261846301393,-1.0658246947580086,-0.0184932913690028,-0.5451812614158091,2.056108607264862,-0.1053209523218134,-0.7514684204712566,-0.7477468757162261,4.0,2.060250799284676,0.9498216749520898,-0.6696524642795098,-0.5962779934023617,-0.5206830303496087,0.0922677197790405,-0.4140644700972098,-0.4430215428902062,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.4054124269972873,-0.0669060407810662,-0.0982845326855521,1.6884507054816615,-0.6291626389113075
137.184.219.180,1.0,-0.1090463868914956,-0.3749829716944948,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,-0.0107274536518667,-2.4749721050667186,-0.0184936199035933,-0.5483758914165449,0.0932797751804933,-0.1053209523218134,-0.7514684204712566,-0.7477468757162261,4.0,0.0936788381662565,0.9498216749520898,-0.6889456854029604,-0.6093735175471995,-0.4690251006573603,1.0275997623887534,-0.3455122033177161,-0.3887013723241175,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.1397655473798329,-0.4480430226987153,-0.0669060407810662,-0.0982845326855521,-0.7454912343918867,-0.6291626389113075
137.184.113.110,1.0,-0.109049519834839,3.1332237649351984,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,0.2194184442786815,-1.357740028138127,-0.2961040841722658,-0.0184933265691375,-0.546778576416177,0.0932797751804933,-0.1053209523218134,-0.7514684204712566,-0.7477468757162261,4.0,0.0936788381662565,0.9498216749520898,-0.6913573380433918,-0.6159212796196184,-0.5206830303496087,1.9629318049984663,-0.4140644700972098,-0.4430215428902062,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.3627818312958594,-0.0669060407810662,-0.0982845326855521,-0.7460972281263023,-0.6291626389113075
